Review,Overall_Rating,Cleanliness_Rating,Staff_Rating,Food_Rating,WiFi_Rating,CheckIn_Rating,Guest_Type,Room_Type,Price,Stay_Date
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,3,5,3,5,Business,Standard,108,2025-08-02
Perfect location and great amenities. Will definitely come back.,3,3,3,4,2,5,Business,Suite,310,2025-12-19
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,4,3,5,4,Solo,Standard,104,2025-09-16
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,3,3,4,4,Business,Suite,286,2026-07-09
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,4,5,Business,Standard,137,2025-10-09
Check-in was a breeze. Room was comfortable and clean.,4,4,4,5,3,4,Solo,Standard,149,2025-08-06
Check-in was a breeze. Room was comfortable and clean.,4,4,4,3,5,3,Business,Standard,101,2026-02-09
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,5,4,Business,Deluxe,184,2025-12-28
Met my expectations. Cleanliness was acceptable.,3,4,4,2,3,2,Family,Standard,86,2026-05-25
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,3,3,2,5,Solo,Suite,288,2026-07-10
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,5,5,2,5,Family,Deluxe,170,2026-03-01
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,4,4,3,5,Couple,Deluxe,198,2026-03-21
Check-in was a breeze. Room was comfortable and clean.,4,5,5,3,2,5,Couple,Standard,107,2026-04-15
Decent hotel for the price. Location is good.,2,2,2,3,3,2,Couple,Standard,136,2026-05-04
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,5,3,3,4,Couple,Suite,294,2025-09-22
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,5,4,5,Family,Deluxe,193,2026-04-14
Terrible experience. The room was dirty and smelled bad. Overpriced minibar.,1,1,1,1,1,2,Solo,Deluxe,193,2025-10-20
Way overpriced for what you get. The bed was uncomfortable and noisy. Couldn't connect to Wi-Fi in my room.,2,1,3,1,2,3,Solo,Suite,350,2025-10-13
It was okay. Nothing special but no major issues either.,3,3,3,2,3,2,Solo,Standard,111,2026-07-06
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,4,4,4,4,Business,Deluxe,212,2025-08-11
Check-in was a breeze. Room was comfortable and clean.,5,5,5,4,5,4,Family,Suite,293,2026-02-10
"Average stay. The room was fine, but the food could be better.",3,2,3,3,3,2,Business,Deluxe,188,2025-08-11
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,4,5,5,5,5,Family,Deluxe,228,2026-01-15
Perfect location and great amenities. Will definitely come back.,4,5,5,4,3,5,Business,Standard,135,2026-01-22
Check-in was a breeze. Room was comfortable and clean.,4,5,3,4,2,5,Couple,Deluxe,215,2025-07-30
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,5,Family,Deluxe,175,2025-12-30
The food gave me food poisoning. Never eating here again. Restaurant is too expensive.,2,1,1,2,3,3,Couple,Suite,302,2026-06-10
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,3,4,4,4,Couple,Deluxe,216,2026-03-13
"Wi-Fi was a bit spotty, but the staff was nice.",3,4,2,4,1,3,Family,Suite,345,2026-07-04
Loved the food and the Wi-Fi was super fast. Great for my business trip.,3,3,3,3,2,3,Couple,Standard,111,2026-03-30
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,5,5,5,Business,Deluxe,211,2025-12-01
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,3,3,5,3,Family,Suite,311,2025-09-30
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,5,5,5,Solo,Standard,144,2026-03-05
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Dusty room.,2,2,3,2,1,2,Solo,Standard,136,2025-09-07
Decent hotel for the price. Location is good.,3,3,3,4,1,2,Couple,Standard,99,2025-11-25
Very rude staff at the reception. Check-in took forever. Reception lost my booking.,1,2,1,1,1,1,Solo,Suite,333,2026-02-14
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Limited food options.,2,2,2,3,1,2,Business,Suite,308,2025-12-16
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,5,5,Solo,Deluxe,181,2026-03-26
Wi-Fi didn't work at all. Completely unacceptable for a business trip. AC was broken.,1,1,2,1,1,1,Family,Suite,303,2025-08-24
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,5,Couple,Deluxe,213,2025-12-06
Excellent experience overall. Highly recommend this hotel to anyone.,3,3,4,3,2,5,Business,Deluxe,165,2025-08-14
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,3,3,5,5,Family,Standard,94,2026-05-14
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,5,5,3,4,Family,Deluxe,199,2025-09-23
Check-in was a breeze. Room was comfortable and clean.,4,5,4,4,4,4,Business,Deluxe,198,2026-07-15
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,5,4,3,Business,Suite,344,2026-06-26
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,2,3,3,4,Couple,Standard,138,2026-07-27
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,4,5,5,4,Family,Deluxe,215,2026-05-29
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,4,3,5,5,Couple,Deluxe,208,2026-01-18
Perfect location and great amenities. Will definitely come back.,5,5,4,5,5,5,Business,Deluxe,195,2026-05-31
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,3,3,5,4,Couple,Suite,310,2026-07-18
"Wi-Fi was a bit spotty, but the staff was nice.",2,3,2,2,3,2,Solo,Suite,331,2026-07-19
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,5,5,Family,Deluxe,230,2026-01-15
The food gave me food poisoning. Never eating here again. Bathroom was not clean.,2,3,1,2,1,3,Couple,Suite,348,2026-07-18
"Average stay. The room was fine, but the food could be better.",3,4,3,3,3,2,Family,Standard,104,2025-12-28
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,5,5,3,4,Family,Deluxe,165,2025-08-26
Check-in was a breeze. Room was comfortable and clean.,4,3,3,5,4,4,Couple,Suite,341,2026-03-12
It was okay. Nothing special but no major issues either.,2,3,3,2,1,3,Couple,Standard,142,2025-09-05
"Average stay. The room was fine, but the food could be better.",3,4,3,2,2,2,Business,Standard,133,2026-06-05
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,3,3,4,3,Family,Suite,287,2026-06-07
"Average stay. The room was fine, but the food could be better.",3,3,4,2,2,2,Business,Standard,102,2026-05-08
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,5,4,Business,Standard,84,2025-11-25
Check-in was a breeze. Room was comfortable and clean.,5,4,5,4,5,5,Couple,Suite,305,2026-03-04
Perfect location and great amenities. Will definitely come back.,3,4,3,3,2,3,Business,Suite,319,2026-05-30
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Bed was too hard.,2,1,2,2,2,1,Couple,Deluxe,170,2026-06-01
Decent hotel for the price. Location is good.,2,4,3,2,1,2,Business,Deluxe,162,2026-07-09
Perfect location and great amenities. Will definitely come back.,5,4,5,5,5,4,Couple,Suite,303,2026-05-25
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,5,Solo,Suite,293,2025-10-20
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,3,5,Couple,Deluxe,171,2026-01-07
Check-in was a breeze. Room was comfortable and clean.,4,5,3,5,5,4,Couple,Deluxe,166,2025-11-03
"Wi-Fi was a bit spotty, but the staff was nice.",3,4,3,2,2,3,Couple,Suite,350,2025-10-05
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,2,4,2,4,Couple,Deluxe,180,2026-01-05
Terrible experience. The room was dirty and smelled bad. Hidden fees on the bill.,2,2,1,3,1,2,Business,Suite,317,2026-04-16
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,4,5,Couple,Deluxe,184,2026-06-01
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,3,5,Family,Standard,118,2026-05-26
"Wi-Fi was a bit spotty, but the staff was nice.",3,4,3,3,3,4,Solo,Standard,149,2026-02-08
"Average stay. The room was fine, but the food could be better.",3,4,2,4,4,2,Solo,Deluxe,212,2025-08-21
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,4,5,Couple,Suite,284,2025-10-02
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,4,3,1,4,Couple,Standard,98,2026-02-24
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,5,5,Family,Standard,90,2026-01-14
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,5,4,4,5,Solo,Deluxe,196,2025-11-23
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,3,5,4,3,Business,Deluxe,165,2026-01-12
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,4,4,5,5,Business,Deluxe,183,2025-10-25
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,4,5,4,4,Family,Standard,139,2026-06-21
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,4,4,Couple,Deluxe,216,2026-01-22
"Wi-Fi was a bit spotty, but the staff was nice.",3,4,3,3,3,2,Couple,Suite,329,2026-04-03
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,5,5,4,Business,Standard,130,2025-12-17
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,4,4,3,5,Business,Suite,325,2025-11-19
Very rude staff at the reception. Check-in took forever. Noisy neighbors and thin walls.,2,1,2,2,1,3,Family,Suite,326,2025-10-05
Check-in was a breeze. Room was comfortable and clean.,4,4,4,4,5,5,Business,Deluxe,224,2025-12-16
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,4,5,4,Family,Deluxe,178,2025-11-22
Decent hotel for the price. Location is good.,3,2,3,2,3,4,Solo,Suite,295,2026-03-19
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,5,3,5,Couple,Suite,309,2026-03-28
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,4,5,5,Business,Suite,318,2026-06-27
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,3,4,4,2,3,Solo,Standard,110,2026-05-01
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,5,5,Family,Deluxe,179,2026-02-27
The food gave me food poisoning. Never eating here again. Breakfast was cold and tasteless.,2,2,2,1,2,1,Business,Deluxe,207,2026-05-04
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,2,2,4,2,Couple,Standard,107,2026-06-23
Decent hotel for the price. Location is good.,2,2,2,4,2,2,Business,Standard,150,2025-11-13
Very rude staff at the reception. Check-in took forever.,2,3,1,2,1,1,Family,Standard,149,2025-12-05
It was okay. Nothing special but no major issues either.,3,2,2,3,2,4,Family,Standard,121,2025-08-07
Perfect location and great amenities. Will definitely come back.,4,5,4,5,2,5,Family,Deluxe,168,2026-03-30
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Staff was unhelpful.,2,2,2,2,1,1,Solo,Deluxe,163,2025-08-30
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,5,5,3,4,Solo,Deluxe,201,2026-06-06
"Average stay. The room was fine, but the food could be better.",3,3,4,4,3,3,Family,Standard,147,2025-12-27
Terrible experience. The room was dirty and smelled bad.,2,1,3,3,1,2,Solo,Suite,337,2025-11-23
Check-in was a breeze. Room was comfortable and clean.,5,5,5,4,5,5,Solo,Deluxe,200,2026-07-05
Check-in was a breeze. Room was comfortable and clean.,3,3,3,3,2,4,Couple,Deluxe,172,2026-02-05
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,4,2,4,Family,Suite,325,2026-07-05
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,4,2,5,Solo,Suite,344,2025-11-15
"Wi-Fi was a bit spotty, but the staff was nice.",2,2,2,3,3,2,Family,Suite,315,2026-05-19
Way overpriced for what you get. The bed was uncomfortable and noisy.,1,2,1,1,1,1,Family,Deluxe,199,2026-01-19
Perfect location and great amenities. Will definitely come back.,4,5,5,4,2,3,Couple,Standard,83,2025-09-14
Check-in was a breeze. Room was comfortable and clean.,5,5,4,5,5,5,Family,Deluxe,201,2026-05-16
Perfect location and great amenities. Will definitely come back.,4,5,3,5,2,4,Business,Standard,136,2026-07-03
Check-in was a breeze. Room was comfortable and clean.,4,5,4,5,3,5,Solo,Deluxe,215,2025-09-24
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,4,4,5,Couple,Suite,287,2025-08-02
Perfect location and great amenities. Will definitely come back.,3,4,4,4,2,3,Family,Deluxe,223,2026-03-07
Way overpriced for what you get. The bed was uncomfortable and noisy.,2,3,3,3,2,1,Family,Standard,130,2025-08-20
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,5,Solo,Standard,133,2025-12-25
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,5,4,4,3,Business,Deluxe,215,2025-09-22
Met my expectations. Cleanliness was acceptable.,3,3,4,2,4,3,Family,Deluxe,203,2025-11-20
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,3,5,3,4,Couple,Standard,124,2026-06-25
Very rude staff at the reception. Check-in took forever. Dusty room.,1,1,2,1,1,2,Family,Standard,143,2026-03-24
The food gave me food poisoning. Never eating here again. Internet speed is terrible.,2,2,3,2,2,3,Solo,Suite,287,2026-01-26
Check-in was a breeze. Room was comfortable and clean.,4,4,4,5,5,4,Business,Deluxe,171,2026-06-09
Check-in was a breeze. Room was comfortable and clean.,4,5,5,3,4,5,Solo,Deluxe,220,2026-04-12
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,5,4,4,4,Family,Standard,111,2026-07-27
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,5,4,Solo,Deluxe,166,2026-06-18
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,5,Couple,Standard,99,2026-01-16
"Average stay. The room was fine, but the food could be better.",3,3,3,4,4,2,Business,Suite,290,2026-01-04
Perfect location and great amenities. Will definitely come back.,5,5,5,5,3,5,Solo,Suite,334,2026-04-16
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,5,5,4,Couple,Standard,108,2025-10-08
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,3,5,Family,Standard,123,2026-06-11
Very rude staff at the reception. Check-in took forever. Not worth the money.,2,3,1,3,3,1,Family,Suite,332,2026-02-01
Check-in was a breeze. Room was comfortable and clean.,5,4,5,4,5,5,Family,Deluxe,184,2026-02-03
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,4,4,Solo,Deluxe,177,2025-12-05
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,5,3,5,Business,Suite,290,2025-10-20
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Found hair on the bed sheets.,1,1,1,1,1,1,Couple,Deluxe,224,2026-02-06
Loved the food and the Wi-Fi was super fast. Great for my business trip.,3,3,3,4,2,5,Family,Deluxe,202,2025-10-12
Decent hotel for the price. Location is good.,3,3,4,2,4,3,Family,Standard,80,2025-09-08
"Average stay. The room was fine, but the food could be better.",3,2,4,4,4,2,Business,Deluxe,196,2025-11-28
Perfect location and great amenities. Will definitely come back.,4,4,5,5,5,3,Couple,Standard,94,2026-04-11
Met my expectations. Cleanliness was acceptable.,3,4,2,4,2,3,Business,Suite,334,2025-07-30
Perfect location and great amenities. Will definitely come back.,5,5,5,4,5,4,Couple,Standard,147,2026-05-04
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,4,3,3,3,Business,Deluxe,162,2026-01-28
"Average stay. The room was fine, but the food could be better.",3,4,4,4,1,4,Business,Deluxe,202,2025-10-06
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,5,Business,Deluxe,183,2025-10-07
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,4,4,4,4,Business,Suite,320,2026-01-04
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,2,4,2,3,Solo,Suite,325,2025-08-23
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,5,5,4,Couple,Deluxe,203,2025-11-02
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,4,5,4,Solo,Suite,335,2026-06-03
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,4,4,5,5,5,Family,Suite,337,2026-06-03
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,4,5,5,5,Solo,Standard,135,2025-12-17
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,4,4,2,2,Business,Standard,98,2026-06-06
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,5,4,4,4,Solo,Standard,84,2026-06-04
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,4,4,5,Family,Suite,326,2026-02-18
Perfect location and great amenities. Will definitely come back.,4,4,4,5,4,5,Couple,Suite,346,2026-02-13
Decent hotel for the price. Location is good.,3,4,3,2,3,4,Business,Deluxe,222,2025-11-09
Check-in was a breeze. Room was comfortable and clean.,4,3,5,4,2,5,Business,Standard,120,2026-07-06
It was okay. Nothing special but no major issues either.,3,4,4,3,3,2,Couple,Suite,302,2026-01-31
Perfect location and great amenities. Will definitely come back.,4,3,4,3,4,5,Family,Standard,127,2026-03-26
Terrible experience. The room was dirty and smelled bad. Noisy neighbors and thin walls.,2,1,2,1,2,2,Family,Suite,289,2025-10-02
Check-in was a breeze. Room was comfortable and clean.,4,4,5,5,4,3,Couple,Suite,350,2026-06-22
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,4,5,4,5,Family,Standard,101,2025-10-20
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,3,4,3,Couple,Suite,350,2025-12-17
Way overpriced for what you get. The bed was uncomfortable and noisy. Rude management.,2,1,3,3,1,1,Family,Suite,323,2026-05-14
Terrible experience. The room was dirty and smelled bad.,2,2,1,2,1,2,Business,Standard,133,2026-06-11
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,4,5,5,5,Business,Deluxe,218,2025-09-05
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,3,3,2,3,Business,Standard,98,2026-01-06
Decent hotel for the price. Location is good.,2,3,2,3,1,3,Couple,Suite,310,2026-03-25
Perfect location and great amenities. Will definitely come back.,4,4,4,4,5,5,Business,Deluxe,213,2025-12-04
Perfect location and great amenities. Will definitely come back.,5,4,5,5,5,5,Family,Deluxe,199,2026-04-10
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,4,4,5,4,Business,Standard,86,2025-12-21
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,4,5,4,Solo,Suite,313,2026-02-02
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Staff was unhelpful.,1,1,2,1,1,1,Solo,Deluxe,224,2026-03-17
Very rude staff at the reception. Check-in took forever.,1,1,1,1,1,1,Couple,Suite,305,2026-06-03
It was okay. Nothing special but no major issues either.,2,2,2,2,3,3,Solo,Suite,346,2026-03-20
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,3,5,5,Family,Suite,318,2026-05-29
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,4,5,5,Couple,Suite,294,2026-02-28
It was okay. Nothing special but no major issues either.,3,4,3,3,2,4,Couple,Suite,286,2026-05-24
Very rude staff at the reception. Check-in took forever.,1,1,1,3,1,1,Solo,Standard,82,2026-03-12
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Unfriendly check-in staff.,2,2,1,2,1,2,Couple,Deluxe,177,2026-04-21
Decent hotel for the price. Location is good.,4,4,3,4,4,3,Family,Suite,302,2026-03-22
Decent hotel for the price. Location is good.,4,4,4,4,3,4,Couple,Suite,341,2025-11-05
Perfect location and great amenities. Will definitely come back.,5,5,5,5,4,5,Family,Deluxe,222,2026-01-08
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,4,5,5,5,5,Solo,Deluxe,204,2025-10-12
Terrible experience. The room was dirty and smelled bad. Unfriendly check-in staff.,2,2,3,2,1,1,Couple,Standard,148,2025-12-15
It was okay. Nothing special but no major issues either.,3,4,4,4,2,2,Couple,Standard,86,2026-07-07
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,4,4,5,3,Family,Suite,297,2025-08-01
Check-in was a breeze. Room was comfortable and clean.,5,5,4,5,5,5,Family,Deluxe,167,2025-09-13
It was okay. Nothing special but no major issues either.,2,2,3,2,1,3,Family,Suite,343,2025-11-02
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,5,3,4,4,Couple,Standard,138,2026-06-23
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,5,4,5,Solo,Standard,138,2026-06-26
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,4,4,3,3,Couple,Suite,331,2026-03-05
"Wi-Fi was a bit spotty, but the staff was nice.",3,4,2,2,2,3,Couple,Standard,121,2025-12-04
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,3,3,3,3,Business,Deluxe,161,2025-12-10
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,3,4,4,3,Couple,Suite,331,2026-07-16
It was okay. Nothing special but no major issues either.,3,4,3,3,2,2,Couple,Suite,297,2026-03-31
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,4,4,Family,Deluxe,170,2026-04-25
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,4,4,4,5,Solo,Suite,348,2025-10-14
Met my expectations. Cleanliness was acceptable.,3,3,2,4,2,4,Family,Deluxe,222,2025-09-14
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,4,3,4,4,Solo,Standard,87,2026-05-12
Decent hotel for the price. Location is good.,3,4,2,3,3,2,Solo,Suite,307,2026-05-22
"Wi-Fi was a bit spotty, but the staff was nice.",2,3,4,2,1,2,Business,Standard,140,2025-08-15
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,4,Couple,Deluxe,208,2026-03-16
Excellent experience overall. Highly recommend this hotel to anyone.,3,3,5,4,2,3,Solo,Deluxe,228,2026-02-16
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,4,4,5,5,Family,Suite,328,2025-11-24
Perfect location and great amenities. Will definitely come back.,4,5,4,5,3,4,Family,Deluxe,213,2026-06-09
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,5,3,5,5,Business,Standard,86,2025-12-02
Very rude staff at the reception. Check-in took forever. Hidden fees on the bill.,2,1,3,2,1,3,Business,Deluxe,200,2026-05-21
Perfect location and great amenities. Will definitely come back.,5,5,5,4,5,5,Couple,Standard,115,2025-08-30
Way overpriced for what you get. The bed was uncomfortable and noisy. Restaurant is too expensive.,3,3,2,3,2,3,Family,Suite,333,2026-02-24
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,4,3,2,2,Family,Deluxe,198,2026-07-27
It was okay. Nothing special but no major issues either.,3,4,3,3,2,3,Family,Deluxe,191,2025-12-07
Check-in was a breeze. Room was comfortable and clean.,4,4,3,5,3,3,Family,Deluxe,194,2026-02-08
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,5,3,4,Business,Standard,106,2026-01-16
Perfect location and great amenities. Will definitely come back.,4,5,3,5,5,3,Couple,Standard,106,2026-02-18
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,5,5,Family,Suite,313,2026-01-30
It was okay. Nothing special but no major issues either.,3,4,3,3,2,3,Solo,Deluxe,200,2026-02-26
Perfect location and great amenities. Will definitely come back.,4,3,4,5,5,4,Business,Suite,299,2025-11-07
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,5,5,5,Couple,Standard,142,2026-06-23
"Average stay. The room was fine, but the food could be better.",3,4,3,2,2,4,Solo,Deluxe,229,2026-04-06
Excellent experience overall. Highly recommend this hotel to anyone.,3,3,3,5,2,3,Family,Suite,332,2025-10-08
Terrible experience. The room was dirty and smelled bad. Reception lost my booking.,2,1,2,2,2,2,Family,Standard,142,2025-08-07
Terrible experience. The room was dirty and smelled bad. Bed was too hard.,2,3,2,1,3,1,Business,Suite,293,2025-09-17
Way overpriced for what you get. The bed was uncomfortable and noisy. Overpriced minibar.,1,1,1,1,1,1,Family,Standard,138,2026-05-15
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,3,5,2,3,Family,Suite,331,2026-02-09
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,4,5,4,4,Solo,Suite,343,2026-03-09
Way overpriced for what you get. The bed was uncomfortable and noisy.,1,1,1,2,2,1,Couple,Suite,285,2025-09-06
Perfect location and great amenities. Will definitely come back.,4,4,3,3,3,5,Couple,Suite,330,2025-09-07
Way overpriced for what you get. The bed was uncomfortable and noisy.,1,1,2,2,1,1,Couple,Standard,97,2026-07-17
Terrible experience. The room was dirty and smelled bad. Bathroom was not clean.,3,2,3,3,3,2,Business,Suite,283,2026-06-19
Very rude staff at the reception. Check-in took forever. Reception lost my booking.,2,1,3,3,3,1,Couple,Deluxe,197,2025-12-03
Perfect location and great amenities. Will definitely come back.,5,5,5,5,4,5,Business,Standard,129,2026-01-08
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,4,4,4,3,Couple,Standard,96,2025-09-12
Way overpriced for what you get. The bed was uncomfortable and noisy. Waited an hour for check-in.,2,1,1,2,1,3,Family,Deluxe,201,2026-02-12
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,4,5,Business,Deluxe,226,2025-10-24
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,3,3,Solo,Standard,101,2026-03-09
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,4,5,Couple,Deluxe,223,2026-05-30
